No.,버그 분류,아이템명,표기 수치,실제 수치,상세 내용 / 비고,처리 상태
26,표기 수치 ≠ 실제 회복 수치,만병 해독제,HP +20,HP +34,,완료(표기명 확인 필요) - 실제 데이터 후보는 만능 해독제(universal_antidote)입니다. HP/감염 수치 표시와 실제 소비 효과가 공통 처리됩니다. 질병/독 전체 치료 문구는 별도 표시 개선 후보입니다.
27,표기 수치 ≠ 실제 회복 수치,만병통치야,,완전 회복(?),완전 회복 여부 확인 필요 (원문 표기 그대로),완료(오탈자 확인 필요) - 실제 데이터명은 만병통치약(universal_cure)입니다. HP/감염/사기 수치 표시와 실제 소비 효과가 공통 처리됩니다.
28,표기 수치 ≠ 실제 회복 수치,메기/베스,영양보충 +55,+58,,"완료(표기명 확인 필요) - 실제 데이터명은 메기/배스(fish_large)입니다. 영양/감염 수치 표시와 실제 소비 효과가 공통 처리됩니다. 시트의 ""베스"" 표기는 데이터의 ""배스""와 다릅니다."
29,표기 수치 ≠ 실제 회복 수치,멸균수,수분 +25,+51,,완료 - 카드와 상세 모달이 ItemEffectSystem의 실제 소비 효과 미리보기를 사용하도록 수정했습니다. 수분/영양/HP 외 스태/체온/사기/피로/감염/방사능/오염 수치가 실제 소비 효과 기준으로 표시됩니다.
30,표기 수치 ≠ 실제 회복 수치,밥,영양보충 +45,+47,,완료 - 카드와 상세 모달이 ItemEffectSystem의 실제 소비 효과 미리보기를 사용하도록 수정했습니다. 수분/영양/HP 외 스태/체온/사기/피로/감염/방사능/오염 수치가 실제 소비 효과 기준으로 표시됩니다.
31,표기 수치 ≠ 실제 회복 수치,밤,영양보충 +15,+16,,완료 - 카드와 상세 모달이 ItemEffectSystem의 실제 소비 효과 미리보기를 사용하도록 수정했습니다. 수분/영양/HP 외 스태/체온/사기/피로/감염/방사능/오염 수치가 실제 소비 효과 기준으로 표시됩니다.
32,표기 수치 ≠ 실제 회복 수치,물이 찬 무쇠솥,수분 +40,+42,,완료 - 카드와 상세 모달이 ItemEffectSystem의 실제 소비 효과 미리보기를 사용하도록 수정했습니다. 수분/영양/HP 외 스태/체온/사기/피로/감염/방사능/오염 수치가 실제 소비 효과 기준으로 표시됩니다.
33,표기 수치 ≠ 실제 회복 수치,물이 찬 양동이,수분 +25,+21,원문 '_25' 표기,"완료(표기명 확인 필요) - 실제 데이터 후보는 물 양동이(water_bucket)입니다. 수분/오염 계열 소비 효과 표시가 공통 처리됩니다. 시트명 ""물이 찬 양동이""와 데이터명이 달라 표기 정리가 필요합니다."
34,표기 수치 ≠ 실제 회복 수치,방사능 해독제,HP +5,+9,,완료 - 카드와 상세 모달이 ItemEffectSystem의 실제 소비 효과 미리보기를 사용하도록 수정했습니다. 수분/영양/HP 외 스태/체온/사기/피로/감염/방사능/오염 수치가 실제 소비 효과 기준으로 표시됩니다.
35,표기 수치 ≠ 실제 회복 수치,버섯 리조토,영향보충 +35,+37,원문 '영향보충' 표기,"완료 - onUse만 있던 소비 효과를 onConsume으로 정규화했고, warmth/heal 같은 별도 키를 체온/HP로 변환해 카드/상세 모달과 실제 소비 로직에 반영했습니다."
36,표기 수치 ≠ 실제 회복 수치,보양식,HP +30,+32,,"완료 - onUse만 있던 소비 효과를 onConsume으로 정규화했고, warmth/heal 같은 별도 키를 체온/HP로 변환해 카드/상세 모달과 실제 소비 로직에 반영했습니다."
37,표기 수치 ≠ 실제 회복 수치,라면,라면(건조) HP +15,HP +16,,"완료(대상 확정 필요) - 데이터에는 라면 (건조)(instant_noodles)와 조리된 라면(cooked_noodles)이 있습니다. 둘 다 공통 소비 효과 표시 대상이며, 시트 행이 어느 라면을 뜻하는지 확정이 필요합니다."
38,표기 수치 ≠ 실제 회복 수치,비빔밥,영양보충 +50,+53,,완료 - 카드와 상세 모달이 ItemEffectSystem의 실제 소비 효과 미리보기를 사용하도록 수정했습니다. 수분/영양/HP 외 스태/체온/사기/피로/감염/방사능/오염 수치가 실제 소비 효과 기준으로 표시됩니다.
39,표기 수치 ≠ 실제 회복 수치,산물,수분 +75,+79,,완료 - 카드와 상세 모달이 ItemEffectSystem의 실제 소비 효과 미리보기를 사용하도록 수정했습니다. 수분/영양/HP 외 스태/체온/사기/피로/감염/방사능/오염 수치가 실제 소비 효과 기준으로 표시됩니다.
40,표기 수치 ≠ 실제 회복 수치,산딸기,영양보충 +8,+9,,완료 - 카드와 상세 모달이 ItemEffectSystem의 실제 소비 효과 미리보기를 사용하도록 수정했습니다. 수분/영양/HP 외 스태/체온/사기/피로/감염/방사능/오염 수치가 실제 소비 효과 기준으로 표시됩니다.
41,표기 수치 ≠ 실제 회복 수치,부목,HP +20,+35,,완료 - 카드와 상세 모달이 ItemEffectSystem의 실제 소비 효과 미리보기를 사용하도록 수정했습니다. 수분/영양/HP 외 스태/체온/사기/피로/감염/방사능/오염 수치가 실제 소비 효과 기준으로 표시됩니다.
42,표기 수치 ≠ 실제 회복 수치,샌드위치,영양보충 +40,+43,,완료 - 카드와 상세 모달이 ItemEffectSystem의 실제 소비 효과 미리보기를 사용하도록 수정했습니다. 수분/영양/HP 외 스태/체온/사기/피로/감염/방사능/오염 수치가 실제 소비 효과 기준으로 표시됩니다.
43,표기 수치 ≠ 실제 회복 수치,생존자의 만찬,HP +100,완전 회복,,완료 - 카드와 상세 모달이 ItemEffectSystem의 실제 소비 효과 미리보기를 사용하도록 수정했습니다. 수분/영양/HP 외 스태/체온/사기/피로/감염/방사능/오염 수치가 실제 소비 효과 기준으로 표시됩니다.
44,표기 수치 ≠ 실제 회복 수치,생리 식염수4,수분 +50 / HP +15,수분 +88 / HP 0,"수분은 더 회복, HP는 회복 안 됨",완료(오탈자 확인 필요) - 실제 데이터명은 생리식염수 IV(iv_saline)입니다. heal 키가 HP로 정규화되어 수분/HP 표시와 실제 회복이 일치하도록 처리했습니다.
45,표기 수치 ≠ 실제 회복 수치,보양식,HP +30,+32,※ 목록 내 중복 기재,"완료 - onUse만 있던 소비 효과를 onConsume으로 정규화했고, warmth/heal 같은 별도 키를 체온/HP로 변환해 카드/상세 모달과 실제 소비 로직에 반영했습니다."
46,표기 수치 ≠ 실제 회복 수치,소금에 절인 고기,영양보충 +25,+26,,완료 - 카드와 상세 모달이 ItemEffectSystem의 실제 소비 효과 미리보기를 사용하도록 수정했습니다. 수분/영양/HP 외 스태/체온/사기/피로/감염/방사능/오염 수치가 실제 소비 효과 기준으로 표시됩니다.
47,표기 수치 ≠ 실제 회복 수치,송로 리조또,영양보충 +50,+53,,완료 - 카드와 상세 모달이 ItemEffectSystem의 실제 소비 효과 미리보기를 사용하도록 수정했습니다. 수분/영양/HP 외 스태/체온/사기/피로/감염/방사능/오염 수치가 실제 소비 효과 기준으로 표시됩니다.
48,표기 수치 ≠ 실제 회복 수치,송로 버섯,영양보충 +20,+21,,완료(표기명 확인 필요) - 실제 데이터명은 송로버섯(truffle)입니다. 영양/사기 수치 표시와 실제 소비 효과가 공통 처리됩니다.
49,표기 수치 ≠ 실제 회복 수치,송이 버섯,영양보충 +15,+16,,완료(표기명 확인 필요) - 실제 데이터명은 송이버섯(matsutake_mushroom)입니다. 영양/사기 수치 표시와 실제 소비 효과가 공통 처리됩니다.
50,표기 수치 ≠ 실제 회복 수치,수술키트,HP +80,+100 이상,,완료 - 카드와 상세 모달이 ItemEffectSystem의 실제 소비 효과 미리보기를 사용하도록 수정했습니다. 수분/영양/HP 외 스태/체온/사기/피로/감염/방사능/오염 수치가 실제 소비 효과 기준으로 표시됩니다.
51,표기 수치 ≠ 실제 회복 수치,스펀지케익,영양보충 +20,+21,,완료(표기명 확인 필요) - 실제 데이터명은 스펀지 케이크(sponge_cake)입니다. 사기/영양 수치 표시와 실제 소비 효과가 공통 처리됩니다.
52,표기 수치 ≠ 실제 회복 수치,스포츠 음료,,수분 +64 / 피로 +10,표기와 실제 회복 상이,완료(표기명 확인 필요) - 실제 데이터명은 스포츠음료(sports_drink)입니다. 수분/피로 수치 표시와 실제 소비 효과가 공통 처리됩니다.
53,표기 수치 ≠ 실제 회복 수치,실험적 항바이러스제,HP +10,+18,,완료 - 카드와 상세 모달이 ItemEffectSystem의 실제 소비 효과 미리보기를 사용하도록 수정했습니다. 수분/영양/HP 외 스태/체온/사기/피로/감염/방사능/오염 수치가 실제 소비 효과 기준으로 표시됩니다.
54,표기 수치 ≠ 실제 회복 수치,쌀,영양보충 +10,+11,,완료 - 카드와 상세 모달이 ItemEffectSystem의 실제 소비 효과 미리보기를 사용하도록 수정했습니다. 수분/영양/HP 외 스태/체온/사기/피로/감염/방사능/오염 수치가 실제 소비 효과 기준으로 표시됩니다.
55,표기 수치 ≠ 실제 회복 수치,알콜솜,HP +3,+10,,완료(표기명 확인 필요) - 실제 데이터명은 알코올 솜(alcohol_swab)입니다. 감염/HP 수치 표시와 실제 소비 효과가 공통 처리됩니다.
56,표기 수치 ≠ 실제 회복 수치,야생 꿀,영양보충 +20,+22,,완료 - 카드와 상세 모달이 ItemEffectSystem의 실제 소비 효과 미리보기를 사용하도록 수정했습니다. 수분/영양/HP 외 스태/체온/사기/피로/감염/방사능/오염 수치가 실제 소비 효과 기준으로 표시됩니다.
57,표기 수치 ≠ 실제 회복 수치,야생 사과,HP +12,+13,,완료 - 카드와 상세 모달이 ItemEffectSystem의 실제 소비 효과 미리보기를 사용하도록 수정했습니다. 수분/영양/HP 외 스태/체온/사기/피로/감염/방사능/오염 수치가 실제 소비 효과 기준으로 표시됩니다.
58,표기 수치 ≠ 실제 회복 수치,야전 수혈 키드,HP +60,+100 이상,피로도 회복량 옵션 미표시,완료(오탈자 확인 필요) - 실제 데이터명은 야전 수혈 키트(field_transfusion_kit)입니다. HP/피로 수치 표시와 실제 소비 효과가 공통 처리됩니다.
59,표기 수치 ≠ 실제 회복 수치,역병 백신,HP +30,+52,,완료 - 카드와 상세 모달이 ItemEffectSystem의 실제 소비 효과 미리보기를 사용하도록 수정했습니다. 수분/영양/HP 외 스태/체온/사기/피로/감염/방사능/오염 수치가 실제 소비 효과 기준으로 표시됩니다.
60,표기 수치 ≠ 실제 회복 수치,연습용 붕대,HP +8,+10,,완료 - 카드와 상세 모달이 ItemEffectSystem의 실제 소비 효과 미리보기를 사용하도록 수정했습니다. 수분/영양/HP 외 스태/체온/사기/피로/감염/방사능/오염 수치가 실제 소비 효과 기준으로 표시됩니다.
61,표기 수치 ≠ 실제 회복 수치,와규 스크랩,영양보충 +30,+32,,완료 - 카드와 상세 모달이 ItemEffectSystem의 실제 소비 효과 미리보기를 사용하도록 수정했습니다. 수분/영양/HP 외 스태/체온/사기/피로/감염/방사능/오염 수치가 실제 소비 효과 기준으로 표시됩니다.
62,표기 수치 ≠ 실제 회복 수치,원기 회복탕,,영양보충 +43 / HP +16,표기와 실제 회복 상이,완료 - 카드와 상세 모달이 ItemEffectSystem의 실제 소비 효과 미리보기를 사용하도록 수정했습니다. 수분/영양/HP 외 스태/체온/사기/피로/감염/방사능/오염 수치가 실제 소비 효과 기준으로 표시됩니다.
63,표기 수치 ≠ 실제 회복 수치,잉어/숭어,영양보충 +30,+32,,완료 - 카드와 상세 모달이 ItemEffectSystem의 실제 소비 효과 미리보기를 사용하도록 수정했습니다. 수분/영양/HP 외 스태/체온/사기/피로/감염/방사능/오염 수치가 실제 소비 효과 기준으로 표시됩니다.
64,장식/기념품 이미지인데 사용됨 (피드백 없음),가족사진,,,장식/기념품 이미지이나 사용됨 — 사용 시 피드백 전혀 없음,"완료(표기명 확인 필요) - 실제 데이터명은 가족 사진(family_photo)입니다. 사기/피로 수치 표시와 실제 소비 효과가 공통 처리됩니다. 시트명 ""가족사진""은 띄어쓰기 정리가 필요합니다."
65,장식/기념품 이미지인데 사용됨 (피드백 없음),군벌줄,,,장식/기념품 이미지이나 사용됨 — 사용 시 피드백 전혀 없음,"원본 확인 필요 - 시트명 ""군벌줄""과 정확히 매칭되는 아이템을 찾지 못했습니다. 두목의 훈장(warlord_medal) 등 후보가 실제 의도인지 확인 후 처리해야 합니다."
66,장식/기념품 이미지인데 사용됨 (피드백 없음),낡은 사진,,,장식/기념품 이미지이나 사용됨 — 사용 시 피드백 전혀 없음,완료 - 사용 시 피드백이 없던 숫자형 소비 효과를 카드/상세 모달에 표시하도록 공통 formatter를 적용했습니다. 사기/피로/HP 등 실제 소비 수치가 노출됩니다.
67,장식/기념품 이미지인데 사용됨 (피드백 없음),담요,,,장식/기념품 이미지이나 사용됨 — 사용 시 피드백 전혀 없음,완료 - 사용 시 피드백이 없던 숫자형 소비 효과를 카드/상세 모달에 표시하도록 공통 formatter를 적용했습니다. 사기/피로/HP 등 실제 소비 수치가 노출됩니다.
68,장식/기념품 이미지인데 사용됨 (피드백 없음),빚 장부,,,장식/기념품 이미지이나 사용됨 — 사용 시 피드백 전혀 없음,완료 - 사용 시 피드백이 없던 숫자형 소비 효과를 카드/상세 모달에 표시하도록 공통 formatter를 적용했습니다. 사기/피로/HP 등 실제 소비 수치가 노출됩니다.
69,장식/기념품 이미지인데 사용됨 (피드백 없음),삼각건,,,장식/기념품 이미지이나 사용됨 — 사용 시 피드백 전혀 없음,완료 - 사용 시 피드백이 없던 숫자형 소비 효과를 카드/상세 모달에 표시하도록 공통 formatter를 적용했습니다. 사기/피로/HP 등 실제 소비 수치가 노출됩니다.
70,장식/기념품 이미지인데 사용됨 (피드백 없음),수술용 마취제,,,장식/기념품 이미지이나 사용됨 — 사용 시 피드백 전혀 없음,완료 - 사용 시 피드백이 없던 숫자형 소비 효과를 카드/상세 모달에 표시하도록 공통 formatter를 적용했습니다. 사기/피로/HP 등 실제 소비 수치가 노출됩니다.
71,장식/기념품 이미지인데 사용됨 (피드백 없음),수의과 마취제,,,장식/기념품 이미지이나 사용됨 — 사용 시 피드백 전혀 없음,"완료 - 수의과 마취제(veterinary_tranquilizer)의 guaranteedStun을 소비 시 전투 대상에게 기절 상태로 적용하고, 전투 로그/알림 피드백과 실제 적 턴 스킵 처리를 연결했습니다. 카드 상세에는 기절 2턴이 표시됩니다."
72,장식/기념품 이미지인데 사용됨 (피드백 없음),식초,,,장식/기념품 이미지이나 사용됨 — 사용 시 피드백 전혀 없음,완료 - 사용 시 피드백이 없던 숫자형 소비 효과를 카드/상세 모달에 표시하도록 공통 formatter를 적용했습니다. 사기/피로/HP 등 실제 소비 수치가 노출됩니다.
73,장식/기념품 이미지인데 사용됨 (피드백 없음),신문지 뭉치,,,장식/기념품 이미지이나 사용됨 — 사용 시 피드백 전혀 없음,완료 - 사용 시 피드백이 없던 숫자형 소비 효과를 카드/상세 모달에 표시하도록 공통 formatter를 적용했습니다. 사기/피로/HP 등 실제 소비 수치가 노출됩니다.
74,장식/기념품 이미지인데 사용됨 (피드백 없음),안정제 주사,,,장식/기념품 이미지이나 사용됨 — 사용 시 피드백 전혀 없음,완료 - 사용 시 피드백이 없던 숫자형 소비 효과를 카드/상세 모달에 표시하도록 공통 formatter를 적용했습니다. 사기/피로/HP 등 실제 소비 수치가 노출됩니다.
75,장식/기념품 이미지인데 사용됨 (피드백 없음),여왕 페르몬,,,장식/기념품 이미지이나 사용됨 — 사용 시 피드백 전혀 없음,"완료(표기명 확인 필요) - 실제 데이터명은 여왕 페로몬(queen_pheromone)입니다. zombieRepelTP를 소비 시 플레이어 zombieRepelUntilTP로 저장하고, 탐색 조우 확률을 지속시간 동안 차단하도록 처리했습니다. 카드 상세에도 좀비 회피 24TP가 표시됩니다."
76,사용 가능해 보이나 사용 불가,구운 생선,,,이미지/네이밍상 사용 가능해 보이나 사용 안 됨 (파란 아이콘),"완료 - onUse만 있던 소비 아이템을 onConsume으로 정규화해 사용 가능 흐름에 포함했고, 실제 소비 효과가 카드/상세 모달에 표시되도록 수정했습니다."
77,사용 가능해 보이나 사용 불가,도토리묵,,,이미지/네이밍상 사용 가능해 보이나 사용 안 됨,"완료 - onUse만 있던 소비 아이템을 onConsume으로 정규화해 사용 가능 흐름에 포함했고, 실제 소비 효과가 카드/상세 모달에 표시되도록 수정했습니다."
78,사용 가능해 보이나 사용 불가,마취제,,,이미지/네이밍상 사용 가능해 보이나 사용 안 됨,"완료 - onUse만 있던 소비 아이템을 onConsume으로 정규화해 사용 가능 흐름에 포함했고, 실제 소비 효과가 카드/상세 모달에 표시되도록 수정했습니다."
79,사용 가능해 보이나 사용 불가,말린 베리,,,이미지/네이밍상 사용 가능해 보이나 사용 안 됨,"완료 - onUse만 있던 소비 아이템을 onConsume으로 정규화해 사용 가능 흐름에 포함했고, 실제 소비 효과가 카드/상세 모달에 표시되도록 수정했습니다."
80,사용 가능해 보이나 사용 불가,말린 생선,,,이미지/네이밍상 사용 가능해 보이나 사용 안 됨,"완료 - onUse만 있던 소비 아이템을 onConsume으로 정규화해 사용 가능 흐름에 포함했고, 실제 소비 효과가 카드/상세 모달에 표시되도록 수정했습니다."
81,사용 가능해 보이나 사용 불가,발표 김치,,,이미지/네이밍상 사용 가능해 보이나 사용 안 됨 (원문 '발표' 표기),"완료(오탈자 확인 필요) - 실제 데이터명은 발효 김치(fermented_kimchi)입니다. onUse만 있던 효과를 onConsume으로 정규화해 사용 가능 처리했고, 영양/감염/사기 수치가 표시됩니다."
82,사용 가능해 보이나 사용 불가,발표 곡물죽,,,이미지/네이밍상 사용 가능해 보이나 사용 안 됨 (원문 '발표' 표기),"완료(오탈자 확인 필요) - 실제 데이터명은 발효 곡물죽(fermented_grain)입니다. onUse만 있던 효과를 onConsume으로 정규화해 사용 가능 처리했고, 영양/스태 수치가 표시됩니다."
83,사용 가능해 보이나 사용 불가,밀들레 커피,,,이미지/네이밍상 사용 가능해 보이나 사용 안 됨 (원문 '밀들레' 표기),"완료(오탈자 확인 필요) - 실제 데이터명은 민들레 커피(dandelion_coffee)입니다. onUse만 있던 효과를 onConsume으로 정규화해 사용 가능 처리했고, 수분/피로/사기 수치가 표시됩니다."
84,사용 가능해 보이나 사용 불가,베리잼,,,이미지/네이밍상 사용 가능해 보이나 사용 안 됨,"완료 - onUse만 있던 소비 아이템을 onConsume으로 정규화해 사용 가능 흐름에 포함했고, 실제 소비 효과가 카드/상세 모달에 표시되도록 수정했습니다."
85,사용 가능해 보이나 사용 불가,베리 발효주,,,이미지/네이밍상 사용 가능해 보이나 사용 안 됨,"완료 - onUse만 있던 소비 아이템을 onConsume으로 정규화해 사용 가능 흐름에 포함했고, 실제 소비 효과가 카드/상세 모달에 표시되도록 수정했습니다."
86,사용 가능해 보이나 사용 불가,버섯 수프,,,이미지/네이밍상 사용 가능해 보이나 사용 안 됨,"완료 - onUse만 있던 소비 아이템을 onConsume으로 정규화해 사용 가능 흐름에 포함했고, 실제 소비 효과가 카드/상세 모달에 표시되도록 수정했습니다."
87,사용 가능해 보이나 사용 불가,백신,,,이미지/네이밍상 사용 가능해 보이나 사용 안 됨,"완료 - 백신(vaccine)의 permanentInfectionImmunity를 소비 시 플레이어 영구 플래그로 저장하고, 이후 오염 섭취/감염성 질병 발병을 막도록 처리했습니다. 카드 상세에는 감염 면역 영구가 표시됩니다."
88,사용 가능해 보이나 사용 불가,솔잎차,,,이미지/네이밍상 사용 가능해 보이나 사용 안 됨,"완료 - onUse만 있던 소비 아이템을 onConsume으로 정규화해 사용 가능 흐름에 포함했고, 실제 소비 효과가 카드/상세 모달에 표시되도록 수정했습니다."
89,사용 가능해 보이나 사용 불가,쐐기풀 스튜,,,이미지/네이밍상 사용 가능해 보이나 사용 안 됨,"완료 - onUse만 있던 소비 아이템을 onConsume으로 정규화해 사용 가능 흐름에 포함했고, 실제 소비 효과가 카드/상세 모달에 표시되도록 수정했습니다."
90,사용 가능해 보이나 사용 불가,야생 샐러드,,,이미지/네이밍상 사용 가능해 보이나 사용 안 됨,"완료 - onUse만 있던 소비 아이템을 onConsume으로 정규화해 사용 가능 흐름에 포함했고, 실제 소비 효과가 카드/상세 모달에 표시되도록 수정했습니다."
91,사용 가능해 보이나 사용 불가,야채 스튜,,,이미지/네이밍상 사용 가능해 보이나 사용 안 됨,"완료 - onUse만 있던 소비 아이템을 onConsume으로 정규화해 사용 가능 흐름에 포함했고, 실제 소비 효과가 카드/상세 모달에 표시되도록 수정했습니다."
92,기능 있을 듯하나 효과 없음/미미,농축 혈청,HP 회복,효과 없음/미미,HP 회복 기능이 있을 듯하나 실제 효과 없음,완료 - 실제 onConsume 효과를 기준으로 카드/상세 모달 표시와 소비 로직을 맞췄습니다.
93,기능 있을 듯하나 효과 없음/미미,된장찌개,영양보충(영양보층),수분 변화 없음,수분 보충 또는 감소가 있어야 할 것 같은데 없음 (원문 '영양보층' 표기),"완료 - 된장찌개(soybean_stew)는 warmth가 체온으로 적용되며, 찌개 사용감에 맞게 수분 +8을 onUse/onConsume에 추가해 카드 상세와 실제 소비 효과가 일치하도록 처리했습니다."
